Team,Player,Lane,Total_Games,Total_Kills,Avg_Kills,Total_Deaths,Avg_Deaths,Total_Assists,Avg_Assists,Avg_KDA,Kill_Participation
RRQ,SuperFrince,MID,33,112,2.49,53,1.18,309,6.87,7.94,83.20%
ONIC PH,K1NGKONG,JUNGLE,33,147,3.27,63,1.4,236,5.24,6.08,75.69%
ONIC PH,Brusko,ROAM,33,28,0.62,158,3.51,333,7.4,2.28,71.34%
ONIC PH,Savero,GOLD,33,141,3.13,48,1.07,192,4.27,6.94,65.81%
ONIC PH,Kirk,EXP,28,74,1.85,100,2.5,209,5.22,2.83,61.79%
ONIC PH,Ryota,EXP,5,4,0.8,19,3.8,25,5,1.53,60.42%
OMG,Minguin,MID,34,89,1.98,74,1.64,231,5.13,4.32,76.19%
OMG,Perkziva,ROAM,34,23,0.51,159,3.53,295,6.56,2,75.71%
OMG,Jeymz,EXP,34,61,1.36,124,2.76,207,4.6,2.16,63.81%
OMG,Raizen.,JUNGLE,34,139,3.09,124,2.76,148,3.29,2.31,68.33%
OMG,Netskie,GOLD,34,108,2.4,71,1.58,179,3.98,4.04,68.33%
OMG,Peuder,,0,0,0,0,0,0,0,0,0
TNC,Ch4knu,ROAM,32,20,0.65,103,3.32,173,5.58,1.87,75.10%
TNC,Bennyqt,GOLD,32,56,1.81,46,1.48,91,2.94,3.2,57.20%
TNC,.3Mar,EXP,32,41,1.32,105,3.39,131,4.23,1.64,66.93%
TNC,LanceCy,MID,25,31,1.55,49,2.45,113,5.65,2.94,86.23%
TNC,Zaida,JUNGLE,32,96,3.1,75,2.42,96,3.1,2.56,74.71%
TNC,Stowm.,MID,7,13,1.18,20,1.82,54,4.91,3.35,74.44%
APBR,Kielvj,EXP,34,62,1.82,104,3.06,159,4.68,2.12,63.69%
APBR,Aqua,MID,30,55,1.83,58,1.93,176,5.87,3.98,73.80%
APBR,Nova_,ROAM,34,32,0.94,105,3.09,224,6.59,2.44,73.78%
APBR,shizou,GOLD,34,63,1.85,47,1.38,134,3.94,4.19,56.77%
APBR,JamesPangks,JUNGLE,34,129,3.79,83,2.44,141,4.15,3.25,77.81%
APBR,chovskrt,MID,4,6,1.5,9,2.25,15,3.75,2.33,61.76%
RORA,Light,ROAM,35,24,0.6,132,3.3,274,6.85,2.26,75.44%
RORA,Edward,EXP,35,70,1.75,105,2.62,192,4.8,2.5,66.33%
RORA,Demonkite,JUNGLE,35,110,2.75,92,2.3,168,4.2,3.02,70.38%
RORA,Yue,MID,35,88,2.2,53,1.32,214,5.35,5.7,76.46%
RORA,Domengkite,GOLD,35,103,2.58,54,1.35,179,4.47,5.22,71.39%
RORA,Calad,,0,0,0,0,0,0,0,0,0
TLPH,Sanji,MID,33,95,2.38,68,1.7,333,8.32,6.29,75.89%
TLPH,Jaypee,ROAM,33,44,1.1,94,2.35,399,9.97,4.71,78.55%
TLPH,KarlTzy,JUNGLE,33,186,4.65,63,1.57,211,5.28,6.3,70.39%
TLPH,Sanford,EXP,33,123,3.08,79,1.98,246,6.15,4.67,65.43%
TLPH,AeronnShikii,GOLD,0,0,0,0,0,0,0,0,0
TLPH,Daiki_,GOLD,5,16,3.2,7,1.4,19,3.8,5,47.30%
TLPH,Teddy,GOLD,28,100,2.86,28,0.8,162,4.63,9.36,53.47%
TWIS,Lansu,MID,33,62,1.72,78,2.17,205,5.69,3.42,69.35%
TWIS,MPtheKing.,JUNGLE,33,140,3.89,81,2.25,157,4.36,3.67,77.14%
TWIS,Nosia,GOLD,21,33,1.83,29,1.61,80,4.44,3.9,61.41%
TWIS,Caloy,ROAM,33,19,0.83,90,3.91,171,7.43,2.11,80.51%
TWIS,Sionnn,MID,33,88,2.44,68,1.89,226,6.28,4.62,81.56%
TWIS,Owl.,GOLD,12,34,1.89,34,1.89,82,4.56,3.41,57.71%
FLCN,Owgwen,ROAM,34,50,1.22,113,2.76,350,8.54,3.54,76.34%
FLCN,Kyle,JUNGLE,34,158,3.85,78,1.9,235,5.73,5.04,75.00%
FLCN,SuperMarco,GOLD,34,124,3.02,43,1.05,236,5.76,8.37,68.70%
FLCN,Flap,EXP,34,81,1.98,104,2.54,278,6.78,3.45,68.51%
FLCN,Hadji,MID,34,111,2.71,68,1.66,295,7.2,5.97,77.48%
FLCN,Ferdz,EXP,0,0,0,0,0,0,0,0,0
BTR,MORENOOO,MID,35,106,3.03,47,1.34,265,7.57,7.89,78%
BTR,EMANNN,GOLD,36,119,3.31,49,1.36,229,6.36,7.1,72%
BTR,FINN,ROAM,38,32,0.84,104,2.74,328,8.63,3.46,73%
BTR,NNAEL,JUNGLE,38,162,4.26,99,2.61,232,6.11,3.98,79%
BTR,SHOGUN,EXP,33,63,1.91,110,3.33,210,6.36,2.48,60%
BTR,CLIVEEE,GOLD,2,1,0.5,3,1.5,3,1.5,1.33,31%
BTR,RYZAA,MID,3,8,2.67,5,1.67,8,2.67,3.2,80%
BTR,LYNCH,EXP,5,5,1,19,3.8,17,3.4,1.16,51%
EVOS,KYY,ROAM,29,22,0.76,101,3.48,246,8.48,2.65,74%
