Team,Player,Lane,Total_Games,Total_Kills,Avg_Kills,Total_Deaths,Avg_Deaths,Total_Assists,Avg_Assists,Avg_KDA,Kill_Participation,MPL
ONIC PH,SuperFrince,MID,33,112,2.49,53,1.18,309,6.87,7.94,83.20%,MPL PH
ONIC PH,K1NGKONG,JUNGLE,33,147,3.27,63,1.4,236,5.24,6.08,75.69%,MPL PH
ONIC PH,Brusko,ROAM,33,28,0.62,158,3.51,333,7.4,2.28,71.34%,MPL PH
ONIC PH,Savero,GOLD,33,141,3.13,48,1.07,192,4.27,6.94,65.81%,MPL PH
ONIC PH,Kirk,EXP,28,74,1.85,100,2.5,209,5.22,2.83,61.79%,MPL PH
ONIC PH,Ryota,EXP,5,4,0.8,19,3.8,25,5,1.53,60.42%,MPL PH
OMG,Minguin,MID,34,89,1.98,74,1.64,231,5.13,4.32,76.19%,MPL PH
OMG,Perkziva,ROAM,34,23,0.51,159,3.53,295,6.56,2,75.71%,MPL PH
OMG,Jeymz,EXP,34,61,1.36,124,2.76,207,4.6,2.16,63.81%,MPL PH
OMG,Raizen.,JUNGLE,34,139,3.09,124,2.76,148,3.29,2.31,68.33%,MPL PH
OMG,Netskie,GOLD,34,108,2.4,71,1.58,179,3.98,4.04,68.33%,MPL PH
OMG,Peuder,,0,0,0,0,0,0,0,0,0,MPL PH
TNC,Ch4knu,ROAM,32,20,0.65,103,3.32,173,5.58,1.87,75.10%,MPL PH
TNC,Bennyqt,GOLD,32,56,1.81,46,1.48,91,2.94,3.2,57.20%,MPL PH
TNC,.3Mar,EXP,32,41,1.32,105,3.39,131,4.23,1.64,66.93%,MPL PH
TNC,LanceCy,MID,25,31,1.55,49,2.45,113,5.65,2.94,86.23%,MPL PH
TNC,Zaida,JUNGLE,32,96,3.1,75,2.42,96,3.1,2.56,74.71%,MPL PH
TNC,Stowm.,MID,7,13,1.18,20,1.82,54,4.91,3.35,74.44%,MPL PH
APBR,Kielvj,EXP,34,62,1.82,104,3.06,159,4.68,2.12,63.69%,MPL PH
APBR,Aqua,MID,30,55,1.83,58,1.93,176,5.87,3.98,73.80%,MPL PH
APBR,Nova_,ROAM,34,32,0.94,105,3.09,224,6.59,2.44,73.78%,MPL PH
APBR,shizou,GOLD,34,63,1.85,47,1.38,134,3.94,4.19,56.77%,MPL PH
APBR,JamesPangks,JUNGLE,34,129,3.79,83,2.44,141,4.15,3.25,77.81%,MPL PH
APBR,chovskrt,MID,4,6,1.5,9,2.25,15,3.75,2.33,61.76%,MPL PH
RORA,Light,ROAM,35,24,0.6,132,3.3,274,6.85,2.26,75.44%,MPL PH
RORA,Edward,EXP,35,70,1.75,105,2.62,192,4.8,2.5,66.33%,MPL PH
RORA,Demonkite,JUNGLE,35,110,2.75,92,2.3,168,4.2,3.02,70.38%,MPL PH
RORA,Yue,MID,35,88,2.2,53,1.32,214,5.35,5.7,76.46%,MPL PH
RORA,Domengkite,GOLD,35,103,2.58,54,1.35,179,4.47,5.22,71.39%,MPL PH
RORA,Calad,,0,0,0,0,0,0,0,0,0,MPL PH
TLPH,Sanji,MID,33,95,2.38,68,1.7,333,8.32,6.29,75.89%,MPL PH
