Employee_ID,Training_Material_Quality,Facilitator_Quality,Assignment_Quality,Employee_Productivity
E001,4,4,4,Productive
E002,3,3,3,Moderate
E003,3,3,2,Moderate
E004,3,4,3,Productive
E005,1,1,1,Poor
E006,5,4,5,Very Productive
E007,4,4,4,Productive
E008,1,1,2,Poor
E009,5,4,5,Very Productive
E010,1,2,1,Very Poor
E011,3,2,3,Moderate
E012,4,3,4,Productive
E013,4,4,4,Productive
E014,5,5,5,Very Productive
E015,4,5,4,Productive
E016,5,5,3,Productive
E017,3,3,4,Moderate
E018,1,1,1,Very Poor
E019,4,3,4,Productive
E020,3,5,5,Productive
E021,4,4,5,Productive
E022,3,4,3,Productive
E023,3,2,2,Moderate
E024,2,2,1,Very Poor
E025,,4,5,Productive
E026,3,4,2,Moderate
E027,3,5,3,Productive
E028,5,4,4,Productive
E029,5,5,4,Productive
E030,3,4,4,Productive
E031,4,4,4,Productive
E032,4,3,3,Moderate
E033,3,2,3,Moderate
E034,4,4,4,Productive
E035,4,3,5,Productive
E036,4,5,5,Very Productive
E037,3,3,3,Moderate
E038,2,2,3,Poor
E039,3,3,3,Moderate
E040,5,3,5,Productive
E041,4,4,4,Productive
E042,5,4,4,Very Productive
E043,3,3,3,Moderate
E044,3,3,3,Moderate
E045,5,5,4,Productive
E046,5,5,5,Very Productive
E047,3,2,2,Poor
E048,5,4,5,Very Productive
E049,3,4,5,Productive
E050,4,3,3,Moderate
E051,3,4,2,Moderate
E052,2,4,3,Moderate
E053,1,1,2,Very Poor
E054,2,2,2,Poor
E055,5,5,5,Very Productive
E056,3,5,5,Productive
E057,4,3,3,Productive
E058,4,4,4,Productive
E059,2,2,1,Poor
E060,4,4,3,Moderate
E061,3,1,1,Poor
E062,1,1,1,Very Poor
E063,5,5,4,Very Productive
E064,1,1,1,Very Poor
E065,5,4,5,Very Productive
E066,5,4,4,Productive
E067,5,4,4,Very Productive
E068,5,5,5,Very Productive
E069,1,1,1,Poor
E070,3,5,4,Productive
E071,4,5,4,Productive
E072,3,3,2,Moderate
E073,5,4,5,Very Productive
E074,4,4,3,Productive
E075,3,3,3,Moderate
E076,1,1,1,Very Poor
E077,3,5,5,Productive
E078,3,3,3,Moderate
E079,2,2,3,Moderate
E080,2,2,2,Poor
E081,5,4,4,Productive
E082,5,5,3,Productive
E083,4,4,3,Productive
E084,3,4,4,Productive
E085,3,3,4,Moderate
E086,2,2,2,Poor
E087,5,5,4,Very Productive
E088,5,5,5,Very Productive
E089,2,3,2,Moderate
E090,2,3,3,Moderate
E091,3,3,2,Moderate
E092,4,4,5,Productive
E093,3,2,2,Moderate
E094,1,1,1,Very Poor
E095,2,2,3,Moderate
E096,4,5,3,Productive
E097,4,3,4,Productive
E098,3,2,2,Moderate
E099,4,3,4,Productive
E100,5,4,5,Very Productive
E101,2,3,2,Moderate
E102,1,2,2,Poor
E103,5,3,4,Productive
E104,2,1,1,Very Poor
E105,3,5,5,Productive
E106,5,5,5,Very Productive
E107,5,5,4,Very Productive
E108,1,2,2,Poor
E109,4,3,4,Productive
E110,3,2,2,Poor
E111,1,2,2,Poor
E112,4,4,3,Productive
E113,4,4,5,Productive
E114,4,2,2,Moderate
E115,4,4,3,Productive
E116,3,4,3,Productive
E117,2,3,4,Moderate
E118,5,5,3,Productive
E119,2,3,2,Poor
E120,5,4,,Very Productive
E121,2,2,3,Poor
E122,3,3,4,Moderate
E123,1,1,1,Very Poor
E124,3,1,2,Poor
E125,3,4,4,Productive
E126,2,3,2,Poor
E127,4,5,5,Very Productive
E128,5,5,4,Very Productive
E129,4,4,4,Productive
E130,4,4,5,Productive
E131,3,5,4,Productive
E132,5,4,5,Very Productive
E133,2,2,2,Poor
E134,3,2,3,Moderate
E135,4,5,5,Productive
E136,2,2,2,Poor
E137,3,2,3,Poor
E138,3,2,3,Moderate
E139,3,5,4,Productive
E140,4,5,4,Productive
E141,1,1,1,Very Poor
E142,3,4,4,Productive
E143,5,4,4,Productive
E144,5,5,5,Productive
E145,3,2,3,Poor
E146,2,2,1,Poor
E147,5,5,5,Very Productive
E148,5,4,4,Productive
E149,5,5,5,Very Productive
E150,4,3,4,Productive
E151,2,1,2,Poor
E152,5,5,5,Very Productive
E153,3,3,3,Moderate
E154,2,3,3,Moderate
E155,4,4,3,Moderate
E156,2,1,1,Poor
E157,5,5,5,Very Productive
E158,1,2,1,Very Poor
E159,2,3,4,Moderate
E160,4,3,3,Moderate
E161,3,3,2,Moderate
E162,4,4,3,Moderate
E163,5,5,5,Very Productive
E164,5,5,5,Very Productive
E165,4,4,4,Productive
E166,2,2,2,Poor
E167,4,4,4,Productive
E168,4,4,4,Productive
E169,2,3,2,Moderate
E170,3,3,4,Moderate
E171,3,3,4,Moderate
E172,3,2,2,Poor
E173,5,4,3,Productive
E174,5,5,4,Very Productive
E175,5,5,5,Very Productive
E176,5,4,3,Productive
E177,4,5,5,Very Productive
E178,5,3,4,Productive
E179,4,3,3,Moderate
E180,5,5,5,Very Productive
E181,5,5,5,Very Productive
E182,2,1,1,Very Poor
E183,1,1,1,Very Poor
E184,4,4,3,Productive
E185,4,4,5,Productive
E186,3,3,5,Productive
E187,2,3,1,Poor
E188,3,2,1,Poor
E189,4,4,5,Productive
E190,1,1,1,Very Poor
E191,3,5,3,Productive
E192,3,2,2,Poor
E193,5,5,5,Very Productive
E194,4,5,4,Very Productive
E195,4,4,5,Productive
E196,2,4,4,Moderate
E197,3,4,3,Productive
E001,4,4,4,Productive
E004,3,4,3,Productive
E007,4,4,4,Productive
